Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2000,7.20,8.93,2.26,2.05,1.36,0.03,0.00,0.00,0.17,2.57,0.76,0.55,25.88
2001,4.48,4.79,2.15,1.70,0.00,0.14,0.00,0.00,0.33,0.35,2.33,5.99,22.26
2002,2.23,1.04,2.85,0.15,1.81,0.00,0.00,0.00,0.00,0.00,2.00,5.85,15.93
2003,1.13,1.08,1.95,2.75,1.23,0.00,0.00,0.34,0.00,0.27,1.64,4.35,14.74
2004,2.07,4.84,0.49,0.11,0.08,0.00,0.00,0.00,1.93,3.09,2.76,4.13,19.50
2005,3.69,2.52,3.55,0.86,1.31,0.69,0.00,0.00,0.10,0.16,0.90,9.47,23.25
2006,3.07,2.07,6.02,3.42,0.42,0.00,0.00,0.00,0.00,0.21,1.03,3.12,19.36
2007,0.07,5.17,0.50,1.42,0.43,0.00,0.01,0.00,0.08,0.93,0.98,3.35,12.94
2008,7.42,1.83,0.12,0.01,0.04,0.00,0.00,0.00,0.00,0.75,2.22,1.75,14.14
2009,1.48,5.06,1.83,1.61,1.30,0.47,0.00,0.00,0.19,3.42,0.36,3.16,18.88
2010,4.75,2.28,1.95,2.60,0.84,0.00,0.00,0.00,0.05,1.75,2.65,5.52,22.39
2011,1.36,3.88,7.00,0.08,1.40,1.14,0.00,0.00,0.00,1.72,0.87,0.07,17.52
2012,2.52,0.94,4.45,2.65,0.00,0.01,0.00,0.00,0.00,1.28,4.33,6.46,22.64
2013,1.06,0.26,1.59,0.58,0.57,0.31,0.00,0.00,0.55,0.00,0.82,0.38,6.12
2014,0.20,4.49,1.93,1.97,0.01,0.00,0.02,0.00,0.54,0.37,1.28,7.63,18.44
2015,0.01,2.28,0.16,1.82,0.19,0.07,0.00,0.00,0.00,0.44,1.35,1.83,8.15
2016,5.79,0.85,4.64,1.48,0.59,0.00,0.00,0.00,0.00,4.41,1.33,3.77,22.86
2017,9.85,8.18,2.76,3.36,0.10,0.18,0.00,0.00,0.00,0.14,2.45,0.13,27.15
2018,5.07,0.66,5.37,2.45,0.42,0.00,0.00,0.00,0.00,0.04,2.36,2.65,19.02
2019,4.65,8.90,3.20,0.59,3.42,0.00,0.00,0.00,0.06,0.00,0.71,M,M
